Nfrequ1,Nfrequ2,Nfrequ3,max_disp_cm,Mass_Kg,util_average
3.5,4.4,6.1,2.85,87870,0.881912
2.5,4.5,5.6,4.56,136390,0.643456
1.5,1.7,3.9,9.975,295917,0.981594
2.5,3.6,5.9,1.995,243715,0.312696
1.2,1.6,1.9,22.515,84223,2.757034
1.1,1.6,3.4,15.105,174836,0.848156
2,3.8,7.8,0.855,309219,0.207498
1.4,2.6,4.4,6.27,135245,0.924679
3.1,4.6,5.6,3.705,108348,0.432087
1.1,3,6.4,1.71,346443,0.372227
1.3,1.7,3.5,7.695,298088,1.261415
2.5,4,6.8,1.14,223239,0.503954
0.2,0.5,0.7,2267.46,134133,28.862324
0.2,0.5,0.8,3119.61,165669,34.496362
3.4,6.7,7.6,1.425,252823,0.390414
0.9,1.9,2.3,95.19,221816,2.615407
2.1,3.9,6,1.14,140487,0.490211
2.2,3,4.4,18.81,105356,0.940936
2,3.5,7.2,1.71,260650,0.291931
1.3,2.5,3.9,5.985,115121,0.990649
1.6,3.1,6,1.71,270596,0.271938
1.2,2.7,4.1,4.845,267627,0.852975
3.3,4,5,5.7,122077,0.53089
1.3,1.4,1.9,52.155,145669,3.097122
5.2,6.5,6.6,1.995,161665,0.477333
2.4,4,6,1.995,203189,0.337599
1.7,2.3,2.9,15.675,85033,0.972804
0.9,1.1,2.7,20.52,189245,1.870092
3.5,4.7,5,3.42,241166,0.441177
2.8,3.1,5,3.99,297534,0.726906
3,3.7,5.8,5.985,211011,0.507669
3,3.9,4,6.27,145545,0.689398
2.1,3.7,5.1,2.28,120713,0.651658
1.4,2.3,3.5,3.705,104937,0.512232
0.2,0.5,0.7,3963.78,135555,26.799202
1.5,3.1,5,3.42,239604,0.618743
1,1.6,3.5,8.265,352204,1.174613
0.6,0.9,1.7,165.3,138336,5.292092
2.5,4,4.2,5.7,153508,0.450242
1.3,2.4,3.1,61.275,121042,3.451621
1.7,2.7,3.9,7.695,122946,1.006591
2.7,4.4,4.7,3.135,251543,0.49279
1.8,3.3,4.4,4.275,248346,0.514099
2.9,5.5,6,3.135,224897,0.356874
1.1,1.9,2.5,25.08,161188,1.725236
0.6,1,1.3,355.11,209506,8.75532
1.3,2.5,3.7,8.55,168080,1.022561
2.1,3,5.8,2.565,323483,0.601725
4,6.5,7.6,1.71,166870,0.317941
2.7,3.5,3.9,5.985,141038,1.121401
1.1,1.5,3.5,8.55,321933,0.933957
3.6,6.7,8.2,1.14,189602,0.266389
4.5,6.3,7.8,2.28,173342,0.660493
0.1,0.4,1.2,11331.315,93959,76.407644
1.5,3,5.7,1.71,207923,0.437232
2.8,4,6.5,1.995,166886,0.333726
1.2,2.4,3.2,7.98,153936,1.331785
1.4,2.8,5.1,3.705,273340,0.365982
1,1.3,3,11.115,266325,1.227978
0.7,1.1,1.7,278.73,257854,5.549541
1.4,2.4,2.9,5.985,187952,0.805288
1.8,2.8,3.1,6.84,223521,1.275316
2.7,4.2,6.8,1.14,205940,0.25772
2.3,3.7,6,1.995,140690,0.335915
3.3,3.8,4.1,6.555,91398,0.924479
2.6,4.2,4.9,5.13,136321,0.486869
1,1.1,1.4,37.05,84562,4.91191
0.7,1.2,1.8,128.82,90868,3.110615
2.5,3.4,4.8,3.705,194895,0.386192
1.7,3,4.3,2.85,98176,0.679484
2.1,2.4,2.9,11.97,91060,1.493955
1,1.3,3.2,17.385,200188,1.32623
2.5,2.6,2.7,13.68,101603,0.934222
1.5,3.4,5.4,2.85,300752,0.344833
1.1,1.8,2.3,9.405,213271,2.486658
2.7,4.4,4.6,4.275,199714,0.403034
1.8,3.2,6.1,1.995,220349,0.592538
4.4,4.7,5.2,3.135,166552,0.651241
3.6,4,4.7,5.985,141334,0.501572
0.6,0.9,1.4,310.365,279047,6.688163
1.3,2.5,4.3,6.27,181256,0.701916
3.1,5.5,7.1,1.425,272065,0.498374
1.2,1.3,1.8,46.74,82377,1.65001
2.3,3.2,5.5,3.135,240225,0.51265
3.2,3.6,5.4,3.705,224862,0.39302
2.2,4.1,6.1,0.855,155255,0.45577
0.4,0.9,1.5,751.26,234174,13.618855
4.5,6,6.5,2.28,311187,0.437616
1.1,1.7,3.5,13.395,257794,1.084716
1.4,2.2,3.1,21.66,194524,1.342512
2.2,2.4,4.2,13.965,136370,1.21143
2.1,4,6.7,1.14,240841,0.431422
2.2,4,7.7,0.855,284483,0.210097
1,1.2,2.4,44.745,102508,1.934874
1.7,2.7,3.2,9.405,129078,1.232732
1,1.1,2.7,23.37,158728,1.612228
3.3,4.6,6.3,3.99,212849,0.880953
1.4,3,4.9,3.99,242702,0.757603
2.2,3.8,7.6,0.855,293430,0.222146
0.3,0.9,0.9,773.205,94282,8.498506
1.3,1.8,2.1,17.1,152600,1.402115
3.3,6.3,7,1.14,196655,0.516265
1,1.1,2.3,29.925,142003,1.811144
3.3,4,5.3,5.7,127554,0.90826
2.8,5.7,7.4,1.14,195383,0.37107
0.8,1,1.6,204.915,257025,3.543011
1,1.4,2.1,55.29,128019,2.902589
0.7,1.1,1.7,242.25,266337,5.116962
1.6,2.8,4.1,6.27,188536,0.871252
2.1,3.3,4.4,4.56,101761,0.859342
3.5,5.7,7,1.14,186520,0.308072
4.4,7.2,8,1.425,250532,0.278417
3.2,4,6,4.56,223916,0.74181
2.8,4.3,4.8,3.42,193217,0.669233
1.6,2.9,5.6,2.85,287816,0.335346
3.1,5.6,6.1,2.28,253578,0.699917
1.6,2.5,3.9,3.99,126265,0.897083
3.7,6.2,7,2.28,199234,0.459977
1.4,2.2,2.7,34.77,206436,1.878349
1.7,2.1,3,33.63,123680,2.238068
1.4,2.6,4.8,2.565,228392,0.884111
2.7,4.7,5.1,3.42,146730,0.991533
0.8,1,2.1,71.82,213323,3.011791
0.6,1.1,1.6,295.83,217775,4.34095
1.8,3.4,7,1.71,290437,0.271356
1.6,2.7,4,7.695,112067,1.084786
1.6,3.2,6.3,2.28,302242,0.419938
0.6,1.2,1.6,350.265,195082,4.304771
1.6,3.1,6.3,1.71,238414,0.274624
0.7,1,2,67.83,128285,1.75349
0.6,1,1.5,240.825,175209,6.841707
2.6,4.4,5.7,1.995,242477,0.356566
1.1,1.4,1.9,53.865,187092,2.24995
1.9,3.1,5.9,2.565,272825,0.317043
2.1,3.6,5.4,1.71,148859,0.643636
0.8,1,2.1,106.305,213116,2.796072
2.1,3.3,4.4,5.415,123790,0.528933
1.2,1.4,3.6,9.975,346662,1.282364
2.9,5.1,6.5,1.71,310300,0.500927
1.9,3.4,5.1,1.995,127224,0.575771
1.2,1.4,2.6,22.515,103382,1.089876
2.7,3.5,5.8,2.565,225148,0.333371
2.8,4.2,5.6,2.85,145052,0.702413
2.1,3.7,4.3,5.985,125891,0.70189
3.9,4.3,4.9,4.56,155905,0.650893
2.3,3,4.2,5.13,153000,0.473335
1.9,3.3,4.8,3.42,270237,0.415002
3.1,6.1,7,1.995,256683,0.567483
2,3.4,6.9,1.425,258797,0.284256
1.6,3,5.2,1.71,207524,0.554258
2.6,2.9,3.3,11.685,228288,1.171723
1.7,2.4,2.6,19.095,228712,2.564239
1.7,3.5,5.6,2.565,254867,0.526925
2.1,2.3,2.7,19.38,138715,1.696775
2,3.1,4,6.555,170600,0.873434
0.6,1.2,1.6,237.975,138741,6.801693
1.2,1.3,2.5,53.295,205238,1.612266
1.4,3.1,5.9,1.995,215907,0.573453
1.6,2.7,4.5,3.705,230844,0.607024
1.6,2.3,3.6,9.12,118955,0.819244
1.4,3,5.6,1.425,304022,0.46002
3.6,7.1,8,1.71,275076,0.395563
2.1,3.3,4.5,1.995,143102,0.746043
6.3,8.1,9.8,0.855,209701,0.503805
1.1,2.2,3.3,11.685,138137,1.197527
3,3.6,4.5,4.845,205787,1.05455
1.5,2.7,3.9,4.56,217604,0.840995
2.4,3.5,5.4,3.42,167910,0.739265
2.4,2.5,2.7,11.685,109005,1.32878
1.8,3.1,4.8,1.995,177004,0.510035
0.9,1.2,2.1,81.795,165695,3.381368
3.2,5.9,6.8,1.71,401078,0.374927
4.6,6.7,9.2,0.57,225937,0.315105
1.2,1.4,3.3,10.26,267141,1.394249
1.7,2.3,2.6,13.68,91486,1.342264
2.1,2.6,2.9,17.1,127938,1.054527
1.2,1.3,1.4,53.295,83789,2.596806
1.4,2,2.6,9.405,94775,0.976502
1.4,2,2.1,29.07,182258,2.344281
3.2,5.1,7.6,0.855,344680,0.414749
1.3,2.6,4.2,7.125,127305,0.51985
2.4,2.7,3.3,6.27,234010,0.716975
1.9,3.8,4.3,4.845,104557,0.811781
1.2,2.9,5.8,2.85,212052,0.653397
1.4,3.3,5.2,3.42,287019,0.691041
1.6,2.2,3.5,3.135,117294,0.645724
2,3.3,7.1,1.425,323009,0.364783
1.1,1.3,3.3,8.835,312569,1.371228
3.1,5.5,6.5,1.71,228485,0.55226
2.7,4.4,5.5,13.395,183357,1.195336
2.4,3.4,5.8,2.85,299462,0.316627
1.4,2.6,4.8,1.71,197700,0.609087
1.4,1.7,3.7,12.54,262076,1.084047
3.5,5.5,6.2,2.565,201298,0.616683
1.5,2.7,4.9,0.855,209751,0.438828
2,3.3,4.3,5.13,110048,0.546993
1.4,2.8,5,2.28,199466,0.621093
2.5,3.1,3.4,13.395,132468,2.031874
2.2,4.1,4.8,3.42,202882,0.748819
2.3,2.6,4.2,6.555,208742,0.904065
2.2,2.6,3.9,7.98,115769,0.593093
1.9,3,3.5,5.415,143561,0.605848
2.2,3.7,3.9,5.13,191227,0.561353
1.5,2.1,2.5,8.265,199498,2.077972
1.4,2.6,4.2,5.7,170962,0.927047
1.9,3,3.2,8.55,110098,1.253003
1.1,2.3,4,5.7,142952,0.95936
0.7,1,1.5,267.33,305069,5.959028
4.2,5.9,7.1,1.995,236231,0.433696
2.8,4.9,6.1,2.565,116513,0.764551
1.6,2.9,5.1,2.28,215137,0.648384
0.5,0.9,1.1,582.825,145076,6.156375
2.3,3.2,5.3,3.135,166601,0.716231
1,1.2,2.3,72.675,223777,2.992568
2.2,4,7.7,0.57,300393,0.217349
3.4,3.6,5.7,7.695,153949,0.793008
2.1,3,3.1,5.7,194018,1.309356
1.2,1.6,3.7,8.55,254397,0.697078
2.6,3.7,4.9,3.705,162035,0.378276
1.7,2.6,2.8,9.405,163121,0.714621
2.2,3.2,3.5,5.13,190554,0.901963
1.5,2.7,3,7.125,192900,1.482342
3.4,5,5.6,2.565,228946,0.78109
2.7,4.5,4.6,4.56,98173,0.506131
1.1,1.3,2.7,29.925,123634,1.598807
2.6,4,7,1.14,304510,0.33798
3,5.2,7.2,1.425,207299,0.43557
1.8,2.4,2.9,5.415,182736,0.934225
1.3,2.1,2.9,5.415,184150,0.754223
1.3,3,5.5,2.28,188654,0.461299
0.2,0.5,0.8,3364.995,180689,49.237922
1.7,2.6,4.6,4.845,239048,0.802852
1.7,3.3,5.8,1.14,225942,0.272763
1.8,2.9,5.3,2.85,257828,0.700688
3.1,3.7,5.3,2.85,209941,0.562866
1.2,2.7,4.7,4.275,218967,0.786683
0.8,1,1.6,53.58,224274,1.70053
2,3.3,5.6,2.85,130726,0.391029
1.4,2.7,4.9,3.99,140567,0.77453
1.6,3.1,5.2,2.85,258890,0.510156
1.3,1.5,3.2,18.525,182225,0.873325
1.3,1.6,1.9,34.2,185833,4.884928
1,2.1,2.9,11.115,140359,0.875218
1.1,1.4,3.1,11.4,216262,1.120174
2.3,3.8,5.1,3.99,149452,0.844842
1.6,3,5.9,2.565,281113,0.473896
1.6,3.1,4.2,5.13,181599,0.961806
3.5,6.9,7.8,1.425,291472,0.265623
2.7,4.5,5.3,3.42,110113,0.896149
2,3.4,5.5,1.14,177573,0.428254
1.2,1.6,3.9,10.26,297158,1.002439
2.2,2.3,2.7,25.935,110178,1.279148
2.1,3.2,5.7,2.565,165777,0.543009
1.3,2,2.3,43.035,151921,3.453449
1.1,1.6,3.7,9.69,247381,1.031811
0.7,0.9,1.7,119.13,78511,3.736134
0.4,0.9,1.2,885.78,115558,14.898088
1.3,2.9,5.7,1.71,260855,0.494338
4.2,6.6,7,1.71,204661,0.59009
1.6,3.4,3.8,5.7,214839,0.916519
1,1.3,2.4,38.19,206385,2.530075
0.6,1.1,1.6,295.545,264607,5.51599
1,1.7,2.3,70.11,202336,3.534042
2.4,3.8,5.4,1.995,132588,0.739233
2.8,4,4.4,5.13,213719,0.749886
4,6.9,7,1.71,207173,0.427406
2,3.5,5.3,1.71,147309,0.671801
0.8,1,1.6,196.08,315092,6.593629
2.6,3.8,6.9,1.425,338882,0.438651
0.2,0.4,1.4,3054.06,121377,17.875291
1,1.1,2.3,55.86,105145,1.401208
0.2,0.5,0.7,2917.545,76100,13.658619
2.6,4.8,5,3.42,211137,0.779449
2.6,4.2,6.4,1.71,195776,0.322715
2.4,3.1,4.9,2.85,163588,0.37975
1.9,3.5,7.5,1.14,322580,0.237907
1.9,2.7,4.3,7.125,301524,0.922969
1.1,2.6,4.3,4.845,279052,0.73619
1.3,2.6,4.5,4.275,122465,0.819987
3.5,5.6,6.4,3.135,222118,0.510684
2.7,5.7,7,1.14,224656,0.463005
1.5,3.1,5.5,1.14,226755,0.373445
2.2,3.4,6.1,2.28,189459,0.316132
3.2,5.3,7.6,0.855,196782,0.36842
2.1,3.1,3.6,5.985,228779,1.58688
0.4,0.9,1.2,703.95,132812,7.384172
4.2,7.4,8.1,1.14,284468,0.241913
2.5,5.2,6.6,1.71,186502,0.457804
1.1,1.5,3.6,11.4,289639,1.065588
0.2,0.5,0.7,3771.12,158031,41.002876
1.5,3,5.7,2.85,314217,0.62384
1.3,1.8,3.5,10.83,189819,0.820027
1.8,3.4,6.4,1.14,226641,0.494315
0.2,0.7,0.9,2535.93,181250,20.529876
0.8,0.9,1.9,88.92,112858,3.257952
1.7,1.8,4.2,9.975,281125,0.710185
0.4,1,1.2,631.275,145211,10.97119
1,1.2,2.7,20.235,137161,1.474243
2.3,2.5,2.8,15.675,89398,1.81697
4.1,4.8,5.8,4.56,127634,0.450277
4.2,6.2,6.6,1.71,220785,0.723052
3.1,4.6,5.8,2.565,139253,0.700772
1.2,2,2.4,14.82,111172,1.470669
4,5.1,6.3,4.275,114843,0.443041
3.1,5.4,6.9,0.855,247354,0.367893
2.3,3.8,6.7,1.71,180551,0.445589
2,3.7,5.1,3.42,199878,0.415994
1.9,2,2.6,17.385,91022,1.818448
2.6,2.7,3.8,7.98,116736,1.124936
3.1,3.8,4.4,5.13,176903,0.881729
2.9,4.9,5.9,3.135,213280,0.872823
1.7,3.2,6.3,1.425,259601,0.275276
0.8,1.3,2.1,56.145,144338,3.0728
0.9,1,1.8,97.47,154566,3.256489
2.5,3.2,5.6,2.565,207341,0.685031
1.2,2.9,5,2.28,184390,0.479033
2.5,2.6,3.3,11.685,119953,0.994011
1.5,1.7,2.1,33.915,170053,2.715419
1,1.7,3.6,11.4,293004,1.356284
1.6,1.9,4,10.83,240433,0.694147
3.3,5.3,5.8,3.135,132906,0.605877
1.6,2.9,4.2,3.99,228500,0.476965
1.2,1.5,2.6,33.345,183543,1.638257
2.6,3.4,3.5,13.11,130870,1.374514
1.1,1.9,3.3,7.98,143791,1.133719
2.4,3.9,4.3,7.41,129390,0.970476
0.7,1.1,1.8,176.7,221129,6.211164
2,2.8,3,13.68,78331,1.294128
3.7,7.2,8.8,0.855,251527,0.437346
2.3,3.9,4.9,2.28,93275,0.83421
2,3.3,5,2.28,222527,0.76191
2.9,4.7,6.4,1.425,134757,0.341113
2.2,3.7,6.5,1.425,176783,0.469798
1.1,2.6,5.2,1.425,243478,0.485049
1.7,3.5,7.3,1.14,284270,0.239363
2.1,2.5,3.8,7.98,169449,0.773234
1.1,1.5,2.4,39.615,94911,1.218985
4.7,7.7,8.1,1.14,199552,0.310723
1.1,2,3.2,11.97,170903,0.908876
0.6,1.1,1.6,296.97,252090,7.364948
3.7,6.5,7.1,1.995,274500,0.276822
0.8,1.2,2.3,100.035,168852,2.350034
1.6,3.3,5.3,2.28,234213,0.392072
2.7,5.8,6.3,1.71,228735,0.592563
1,2.6,4.4,5.7,241818,0.848742
1.7,3.4,5.7,2.565,277031,0.649238
0.4,1,1.2,661.485,150000,7.102621
0.2,0.7,0.9,2052.57,209510,35.544041
2.3,3.2,6.8,1.71,318620,0.519854
2.2,3.1,3.2,18.525,112339,1.463118
1.2,1.6,1.9,14.535,116255,1.908193
0.9,1.6,3.1,17.1,268923,1.38728
2,3.5,6.7,1.71,210230,0.557663
4.1,6.4,7.4,1.425,237557,0.500973
1.4,2.6,3.7,9.12,137516,0.834544
1.2,1.7,3.9,9.405,283654,1.231522
1.9,3.5,5.8,2.565,222288,0.500878
0.6,0.9,1.7,199.215,204592,8.153954
4.2,6.4,7.2,1.995,249874,0.296945
2.7,4.8,5.8,3.135,216361,0.507806
1.4,2.7,4.8,4.275,199605,0.814699
1,1.4,1.7,49.875,230755,2.292424
3.8,5.1,5.3,6.27,109699,1.189466
1.2,2,3.4,5.13,141870,1.021959
1,2.3,3,10.26,133241,1.167035
1.5,2.6,3.9,3.42,109894,0.852778
2.9,4,4.3,4.845,214116,0.492532
1,2.5,4.6,4.845,219392,0.584044
1,1.1,2.1,72.675,119945,3.076807
1.6,3.3,5.3,2.85,222187,0.541776
1.6,2.5,4.2,5.7,185084,0.834056
2.6,3,4.5,5.415,246258,0.620293
0.5,1,1.7,241.965,161659,6.033438
2.5,5.4,7.2,2.28,267670,0.690418
1.3,3.1,5.1,3.135,209066,0.544807
1.7,2.1,2.4,29.64,105325,2.516335
1.7,2.5,3,14.535,142710,0.827949
1.8,2.7,5.4,1.425,224446,0.304949
2,3.4,5.7,3.135,140698,0.382961
1,1.4,3.2,16.53,158853,1.330512
2.1,3.1,4.7,4.56,195933,0.414794
1.3,2.9,5.2,3.705,368110,0.639625
2.7,4.1,6.4,1.995,392239,0.387929
1.1,1.6,3.3,16.53,202903,1.221637
1.6,3,5.1,2.28,157914,0.695119
1.7,1.9,3.9,11.97,226800,0.77368
0.4,0.7,1,698.82,180845,13.158587
0.4,1,1.3,830.775,130265,13.134208
1.7,3,3.3,9.12,192165,1.840462
3.4,6.4,6.8,1.71,245122,0.434643
1.6,2,3.8,9.405,284944,1.292181
2.6,3.9,7.9,1.14,321010,0.241517
1.5,2.5,4.3,2.28,159526,0.690819
2.5,4.9,5.8,3.42,185378,0.708826
0.5,1,1.5,466.26,193773,9.216549
0.4,0.9,1.1,220.59,111709,8.019429
2.2,4,5.3,2.28,233156,0.804401
1.1,2.2,3.3,11.115,164013,0.85802
2.7,5.9,7.4,0.57,217566,0.259525
1.2,1.6,2.7,16.245,133724,1.070283
2.7,2.9,3.7,11.4,191016,0.81099
4.7,5.8,6.5,2.28,242899,0.45986
0.7,0.9,1.7,92.625,213190,4.766398
1.1,1.4,3,21.09,181642,1.315597
1.8,2.9,3.1,7.695,126768,0.961847
2.5,4.3,7,0.855,205873,0.245199
2.3,4.2,4.8,5.13,137886,0.443279
1.9,4,4.8,2.85,129720,0.706539
1.1,2.1,2.6,11.115,172121,1.210778
1,2.1,3.2,9.12,117089,0.890755
0.9,1.2,2.6,15.39,252700,1.524006
1.1,2,2.4,21.945,191090,1.641897
0.8,1.1,1.3,90.06,151298,4.259258
2.9,5.3,6.4,3.135,225760,0.344684
0.3,0.7,0.9,813.96,140165,9.44082
2.6,3.6,6.9,1.425,206442,0.291533
1.7,2.9,5.4,1.425,206004,0.39505
2.2,3.8,5.5,2.28,194532,0.537388
3.2,5.8,6.8,2.85,241721,0.321849
1.2,2.1,2.9,19.95,207706,1.131908
2.7,5,5.2,3.135,141988,0.809512
1.9,3,4,25.365,219147,3.377345
2.7,3.9,5,3.135,262054,0.349632
2,2.7,2.8,16.815,129667,1.167291
1.1,3,5.9,2.565,264744,0.530362
1.4,1.5,3.6,13.11,240229,1.525196
1.4,2.2,2.7,8.55,202034,1.968989
3.9,5.7,6.1,2.565,238377,0.350406
2.8,5.9,6.5,1.71,265587,0.377434
1.2,2.5,4.1,6.555,239675,0.868111
2.3,3.7,5,3.705,148401,0.475543
0.4,0.9,1,563.16,222075,14.204517
4.9,6.3,8.1,1.995,217088,0.405596
1.6,3.1,6.7,1.995,361925,0.386116
2.4,3.7,4.3,4.56,245968,0.626655
1.4,3.1,5.6,1.995,182292,0.448986
0.6,1.1,1.8,182.115,213665,7.494912
1.9,3.2,5.5,1.71,200446,0.300167
1.5,2.8,4.7,3.705,158358,0.749184
1.4,2.9,5.4,1.995,194301,0.608549
2.1,3.4,6.7,1.995,300861,0.302621
1.2,1.3,2,40.185,172176,2.358032
1.5,2.8,4.6,1.425,166120,0.451298
1.3,2.6,5.2,3.705,226756,0.533086
1.2,3,5.5,3.135,336965,0.488749
0.5,1,1.6,285.57,131001,4.461506
1.6,1.9,4.1,4.56,382165,0.519828
0.4,1,1.2,876.66,114542,14.277093
0.5,1.4,1.6,254.22,167382,9.466548
2.3,3.4,5.3,3.705,202072,0.375524
1.2,3,4.6,4.275,158897,0.448613
1,1.5,3.3,9.69,278744,1.008153
0.5,1,1.3,536.655,168951,6.329986
1.2,2.9,5.5,3.135,185807,0.503374
1.1,2.7,4.8,3.42,253185,0.757349
2.7,3.4,3.6,8.55,106340,0.908867
1.7,1.9,2.9,35.91,108420,3.867751
2,2.8,4.7,3.99,198411,0.389686
1.3,2.2,2.7,44.175,224883,1.549221
2,3.3,5.5,3.135,304402,0.469249
2,3.2,4.7,3.42,158458,0.42271
1.8,4.1,4.5,2.565,160114,0.78546
1.2,1.2,1.8,32.205,189417,4.961098
0.3,0.8,1,1103.805,109610,11.147878
2.3,3.4,4.6,3.99,235145,0.451025
1.4,1.9,3.2,14.535,163939,0.943869
2.1,2.3,3.6,17.955,157151,1.510905
0.9,1.6,1.9,42.75,97855,2.287481
0.5,0.9,1.4,427.785,218749,10.021924
3.5,6,7.6,1.14,208882,0.499391
2,3.4,6,0.855,217290,0.230231
2.6,3.2,3.3,6.84,155071,1.015716
2,3.4,6.1,1.14,269869,0.447613
2.8,4.7,7.3,0.57,249705,0.281767
1.3,3.1,6.3,1.995,330851,0.481768
1.1,2.7,5.3,3.705,260957,0.663983
1.2,1.4,3.1,13.68,171443,1.304525
1.3,1.9,4.3,7.98,277680,0.612666
3.2,6.2,8,0.57,244131,0.305161
1.8,2.8,3.9,3.99,106793,0.72555
1.6,3.1,6.3,1.995,249940,0.560844
2.6,2.9,3.1,9.69,140374,0.763573
2.3,4,7.2,0.855,232484,0.44835
0.8,1.3,1.9,113.715,102804,2.920312
0.8,1.3,1.6,43.89,103838,2.806686
1.2,2.5,2.7,7.98,217306,0.914529
2.1,3.5,3.7,4.845,213095,1.673418
0.6,1.1,1.5,223.725,163030,6.03444
0.2,0.6,1.1,3128.73,108792,17.355277
1.4,2.6,3.6,8.835,169105,0.551612
1.3,3,4.4,4.845,267322,0.427122
1.4,2.8,5.6,2.565,210659,0.627252
3,3.6,4.1,7.41,146643,1.03253
1.3,2.6,4.4,3.135,199104,0.440077
3.7,5.6,6.7,1.71,215696,0.30709
1.8,2.9,5.2,3.705,205441,0.372437
2.5,4.2,5.4,3.135,139552,0.6083
1.8,3.9,4.2,3.705,165900,0.871095
1.4,2.9,4.4,3.705,218698,0.460348
1.2,2.8,5.7,3.135,308714,0.310304
2.3,3.7,4.6,4.56,168177,0.877295
1.9,2.9,4.3,3.99,133847,0.508686
